 time, distance, watts, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,        0,     0,       0,               0,      389, 389.13333333333327,          4.2
    1,      0.5,     0,       0,            0.54,      389, 389.13999999999993,          2.7
    2,      2.3,     0,       0,            1.16,      389, 389.14545454545447,          1.9
    3,      4.8,     0,       0,           1.583,    389.2,  389.1499999999999,            2
    4,      7.4,     4,       8,           1.857,    389.2,  389.1538461538461,          1.6
    5,     10.8,    15,      70,           2.154,    389.2,  389.1571428571428,            0
    6,     14.7,   266,      78,            2.84,    389.2,  389.1599999999999,            0
    7,     19.4,   339,      66,            3.42,    389.2, 389.17333333333323,            0
    8,     24.6,   179,      67,           3.966,    389.2, 389.18666666666655,            0
    9,     29.8,   127,      67,           4.472,    389.2,  389.1999999999999,            0
   10,       35,   122,      89,           4.846,    389.2,  389.2133333333332,            0
   11,     40.6,   188,      93,            5.18,    389.2,  389.2266666666665,            0
   12,     46.5,   192,      81,           5.408,    389.2,  389.2533333333332,            0
   13,     52.3,   171,      70,           5.552,    389.2,  389.2799999999999,            0
   14,     58.3,   148,      45,           5.692,    389.2, 389.31999999999994,            0
   15,     64.1,   107,      56,           5.816,    389.2, 389.35999999999996,            0
   16,     69.7,    97,      73,           5.802,    389.2,              389.4,          0.9
   17,     75.2,    66,      66,            5.75,    389.2,  389.4533333333333,            1
   18,     80.2,    48,      66,           5.564,    389.4,  389.5066666666667,            2
   19,       85,    41,      66,           5.354,    389.4, 389.56000000000006,          2.1
   20,     89.8,     0,       0,           5.146,    389.6,  389.6133333333334,          2.2
   21,     94.1,     0,       0,           4.898,    389.6, 389.68000000000006,          2.3
   22,     98.4,     0,       0,           4.632,    389.8,  389.7466666666667,          1.2
   23,    102.4,     0,       0,           4.448,    389.8,  389.8133333333334,          2.7
   24,    105.8,     0,       0,           4.162,    389.8, 389.88000000000005,          1.4
   25,      109,     0,       0,           3.842,      390,  389.9466666666667,          1.6
   26,    112.2,     1,      43,            3.62,      390,  390.0133333333334,          1.7
   27,    115.2,    46,      59,            3.37,      390, 390.06666666666666,          1.9
   28,    117.7,     0,       0,           3.066,      390, 390.11999999999995,          1.7
   29,    119.8,    15,      47,           2.784,    390.2,  390.1733333333333,          1.7
   30,    121.6,    24,      47,           2.518,    390.2, 390.22666666666663,          3.2
   31,    123.8,    41,      34,           2.322,    390.2,  390.2933333333333,          1.9
   32,    126.8,   101,      58,           2.324,    390.2, 390.34666666666664,          1.6
   33,    130.2,   130,      62,           2.488,    390.4,              390.4,          1.5
   34,    133.8,   112,      63,             2.8,    390.4,  390.4533333333333,          1.5
   35,    137.3,    90,      62,           3.128,    390.4, 390.52000000000004,          1.4
   36,    140.6,    96,      64,           3.348,    390.4,  390.5733333333334,          1.4
   37,    144.2,   101,      66,           3.464,    390.6,  390.6266666666667,          2.8
   38,    147.6,    94,      66,           3.486,    390.6, 390.68000000000006,          2.7
   39,    151.3,    89,      65,           3.512,    390.8,  390.7466666666667,          1.3
   40,    155.4,   122,      66,            3.63,    390.8, 390.80000000000007,          1.2
   41,    159.5,   137,      70,           3.782,    390.8,  390.8533333333334,          1.2
   42,    163.6,   141,      76,           3.892,    390.8, 390.90666666666675,          1.2
   43,    167.8,   121,      78,           4.038,      391,  390.9600000000001,          1.2
   44,    172.1,    89,      78,            4.16,      391,  391.0133333333334,          1.3
   45,    175.6,    58,      78,           4.048,      391, 391.06666666666666,          1.3
   46,    179.1,    48,      78,           3.924,      391,  391.1066666666666,          1.4
   47,    183.1,    47,       5,             3.9,    391.2, 391.15999999999997,          1.4
   48,    186.7,     0,       0,           3.778,    391.2,  391.2133333333333,          1.4
   49,      190,     6,      17,           3.572,    391.2,             391.28,            0
   50,    193.7,    46,      73,           3.618,    391.2, 391.34666666666664,          1.1
   51,    198.6,    76,      74,           3.906,    391.2,  391.4133333333333,            1
   52,    204.7,    85,      81,           4.308,    391.4,  391.4933333333333,          0.9
   53,    210.7,   227,      83,           4.796,    391.4,  391.5733333333333,          1.8
   54,    216.1,   320,      91,            5.22,    391.4,  391.6533333333333,            1
   55,    220.3,   295,      94,           5.312,    391.6,  391.7333333333333,          2.1
   56,    224.3,   229,      92,           5.136,    391.6,  391.8133333333333,          3.1
   57,    229.5,   220,      79,           4.964,    391.8, 391.90666666666664,          1.9
   58,    235.6,   226,      79,           4.988,      392,                392,          2.4
   59,    241.6,   196,      81,           5.108,      392, 392.09333333333336,          1.5
   60,    249.3,   131,      80,           5.794,    392.2,  392.1866666666667,          1.5
   61,      257,    86,      80,           6.532,    392.2,  392.2800000000001,          1.4
   62,      263,    80,      80,           6.694,    392.4, 392.36000000000007,          0.8
   63,    269.2,    79,      80,           6.726,    392.4, 392.45333333333343,          1.6
   64,    275.8,    77,      80,            6.84,    392.4,  392.5333333333334,          0.8
   65,    282.4,     0,       0,           6.628,    392.6,  392.6133333333334,          1.6
   66,    288.4,     0,       0,           6.286,    392.6,  392.6933333333334,          1.7
   67,      294,   105,      76,            6.22,    392.8, 392.76000000000005,          0.9
   68,    299.7,   200,      78,           6.094,    392.8, 392.84000000000003,          0.9
   69,    305.6,   198,      81,           5.958,    392.8,  392.9066666666667,          0.9
   70,    311.1,   176,      80,           5.736,    392.8, 392.97333333333336,          0.9
   71,    316.3,   101,      79,           5.568,      393,  393.0533333333334,          1.8
   72,    321.7,    65,      79,           5.526,      393, 393.12000000000006,          1.8
   73,    327.6,    55,      79,           5.588,    393.2,  393.1866666666667,          0.9
   74,    333.8,    39,       6,            5.63,    393.2,  393.2533333333334,          1.7
   75,    339.2,     0,       0,           5.628,    393.2, 393.32000000000005,          0.9
   76,    344.7,     0,       0,            5.69,    393.4,  393.3866666666667,            1
   77,    349.9,     0,       0,           5.646,    393.4, 393.46666666666675,          1.9
   78,    354.8,    11,      19,           5.428,    393.4,  393.5333333333334,            1
   79,    359.9,    57,      73,           5.238,    393.6,  393.6000000000001,            1
   80,    364.8,   142,      85,           5.116,    393.6, 393.66666666666674,            2
   81,    369.3,   196,      88,           4.918,    393.6,  393.7333333333334,            1
   82,    374.5,   225,      96,           4.914,    393.8, 393.80000000000007,          0.9
   83,    380.9,   263,      99,            5.22,    393.8, 393.86666666666673,          1.5
   84,    388.2,   239,     105,            5.65,    393.8,  393.9333333333334,          0.7
   85,    396.1,   164,      86,            6.27,      394, 394.01333333333343,          0.7
   86,    403.7,   108,      77,           6.888,      394,  394.0800000000001,          1.4
   87,    410.5,    82,      54,           7.196,      394, 394.14666666666676,          0.8
   88,    416.4,    67,      43,           7.108,    394.2, 394.22666666666674,          0.9
   89,    421.5,    74,      76,           6.652,    394.2,  394.2933333333334,          1.9
   90,      426,   100,      73,           5.978,    394.2,  394.3733333333334,            1
   91,      431,   107,      72,           5.458,    394.4, 394.45333333333343,          1.9
   92,    436.6,    75,      72,           5.232,    394.4,  394.5200000000001,          1.7
   93,    442.5,    56,      21,           5.226,    394.6,  394.6000000000001,          0.8
   94,    449.4,    73,      73,           5.582,    394.6,  394.6933333333334,          1.7
   95,    455.7,   129,      74,            5.94,    394.6, 394.77333333333337,          0.9
   96,    460.9,   120,      75,           5.964,    394.8, 394.85333333333335,          2.1
   97,    465.1,   117,      75,            5.69,    394.8,  394.9466666666667,          2.2
   98,    468.8,   141,      75,           5.252,      395, 395.02666666666676,          1.1
   99,    473.6,   172,      79,           4.858,      395,  395.1200000000001,            2
  100,    478.9,   189,      81,           4.634,      395,  395.2133333333334,          1.8
  101,    484.8,   190,      84,           4.782,    395.2, 395.30666666666673,          1.7
  102,    491.2,   168,      85,            5.22,    395.4, 395.41333333333336,          1.7
  103,    496.9,   158,      85,           5.612,    395.4,  395.5066666666667,          1.7
  104,    502.7,   145,      86,           5.812,    395.4, 395.61333333333334,          0.9
  105,    508.3,   129,      87,           5.884,    395.6, 395.70666666666665,          1.9
  106,    513.3,   153,      87,           5.712,    395.6, 395.81333333333333,          2.9
  107,    518.1,   160,      89,           5.394,    395.8,             395.92,          1.9
  108,    523.5,   165,      90,           5.332,      396,  396.0266666666667,          2.8
  109,    529.2,   177,      90,             5.3,      396, 396.12000000000006,          1.8
  110,    534.7,   211,      90,            5.28,    396.2,  396.2133333333334,          1.7
  111,    540.7,   217,      91,           5.478,    396.2,  396.3066666666668,          1.7
  112,    546.9,   170,      91,           5.744,    396.4,  396.3866666666668,          1.7
  113,    552.7,   155,      91,           5.824,    396.4,  396.4666666666668,          1.8
  114,    557.9,     0,       0,           5.742,    396.6,  396.5333333333335,          1.9
  115,    562.9,     0,       0,           5.638,    396.6,  396.5866666666668,          2.1
  116,    567.6,     0,       0,           5.372,    396.8, 396.64000000000016,          1.1
  117,    571.6,     0,       0,           4.946,    396.8,  396.6800000000002,          1.2
  118,    575.3,   164,      78,           4.538,    396.8,  396.7200000000002,            0
  119,    579.5,   309,      78,           4.322,    396.8,  396.7466666666669,            0
  120,    584.9,   348,      81,           4.396,    396.8,  396.7866666666669,            0
  121,      591,   306,      80,           4.688,    396.8, 396.81333333333356,            0
  122,    597.7,   210,      42,           5.222,    396.8,  396.8533333333335,            0
  123,      605,   273,      74,           5.934,    396.8, 396.88000000000017,            0
  124,    612.7,   339,      77,           6.632,    396.8,  396.9066666666668,            0
  125,    620.7,   336,      79,           7.158,    396.8,  396.9466666666668,            0
  126,    629.1,   321,      83,           7.616,    396.8, 396.98666666666674,          0.6
  127,    637.9,   307,      83,           8.032,    396.8,  397.0400000000001,          0.6
  128,      647,   269,      53,           8.406,      397,  397.0933333333334,          1.1
  129,    656.1,   168,      26,           8.686,      397, 397.14666666666676,          1.1
  130,    664.9,    48,      37,           8.844,    397.2,  397.2133333333334,          0.6
  131,    673.4,    92,      72,           8.858,    397.2,  397.2800000000001,          1.2
  132,      682,   169,      82,           8.824,    397.2, 397.36000000000007,          0.6
  133,    690.2,   167,      83,           8.632,    397.4,  397.4400000000001,          1.2
  134,    698.4,   151,      83,           8.462,    397.4,  397.5200000000001,          1.2
  135,    707.4,   128,      84,           8.502,    397.6,  397.6000000000001,          0.6
  136,    716.3,   110,      83,           8.578,    397.6, 397.68000000000006,          1.2
  137,    724.5,   100,      83,           8.508,    397.6,  397.7466666666667,          0.6
  138,    732.5,   102,      83,           8.452,    397.8,  397.8266666666667,          1.3
  139,    740.3,   106,      83,            8.37,    397.8,  397.9066666666667,          1.3
  140,      748,   118,      82,           8.124,      398, 397.97333333333336,          0.6
  141,    755.8,   106,      83,           7.904,      398,             398.04,          1.3
  142,    763.7,    99,      83,           7.828,      398,  398.0933333333333,          0.6
  143,    771.6,    98,      83,           7.828,    398.2,  398.1466666666666,          0.6
  144,    779.3,    48,       9,           7.808,    398.2,  398.1999999999999,          1.3
  145,    787.1,    55,      82,            7.81,    398.2, 398.23999999999984,          0.6
  146,    795.1,   119,      84,           7.858,    398.4,  398.2799999999998,          0.6
  147,    803.3,   213,      87,           7.926,    398.4, 398.30666666666644,          0.6
  148,    811.7,   205,      85,           8.012,    398.4,  398.3333333333331,            0
  149,    820.5,   182,      83,           8.226,    398.4, 398.35999999999973,            0
  150,    829.5,   127,      83,           8.484,    398.4, 398.37333333333305,            0
  151,    838.7,   103,      72,            8.72,    398.4,  398.3866666666664,            0
  152,    847.6,     0,       0,           8.868,    398.4, 398.41333333333307,            0
  153,    856.3,     0,       0,           8.928,    398.4, 398.42666666666645,            0
  154,    865.2,     0,       0,            8.94,    398.4,  398.4399999999998,            0
  155,    873.8,     0,       0,           8.852,    398.4,  398.4533333333332,            0
  156,    882.3,     0,       0,           8.724,    398.4,  398.4666666666666,            0
  157,    890.6,     0,       0,            8.59,    398.4, 398.47999999999996,            0
  158,      899,     0,       0,            8.55,    398.4,  398.4933333333334,          0.6
  159,    907.9,     0,       0,           8.558,    398.4,  398.5066666666668,          0.6
  160,    916.2,     0,       0,           8.484,    398.6,  398.5333333333335,          0.6
  161,    924.9,     0,       0,           8.512,    398.6,  398.5600000000002,          0.6
  162,    933.8,    16,      87,           8.652,    398.6,  398.5866666666669,            0
  163,    942.5,    39,      82,             8.7,    398.6, 398.61333333333357,            0
  164,    951.8,    26,       8,            8.78,    398.6,  398.6533333333336,            0
  165,    960.6,    16,      78,           8.886,    398.6,  398.6933333333336,            0
  166,    969.5,    46,      85,           8.924,    398.6, 398.73333333333363,          0.6
  167,      979,    60,      85,           9.022,    398.6,  398.7600000000003,          0.5
  168,    988.2,    52,      82,           9.126,    398.8, 398.80000000000024,          0.5
  169,    997.4,    42,      85,           9.112,    398.8,  398.8400000000002,          0.5
  170,   1007.7,    59,      85,           9.408,    398.8, 398.88000000000017,          0.5
  171,   1017.3,    58,      81,           9.556,    398.8, 398.93333333333345,          0.6
  172,   1025.3,    50,      77,           9.278,      399, 398.98666666666674,          0.6
  173,   1033.1,    58,      79,           8.978,      399,             399.04,          0.7
  174,   1040.3,    91,      84,           8.584,      399,  399.0933333333333,          0.7
  175,   1047.5,    85,      84,           7.976,      399, 399.13333333333327,          0.7
  176,   1054.3,   109,      85,           7.412,    399.2, 399.17333333333323,          0.7
  177,   1060.9,   138,      86,            7.11,    399.2,  399.2133333333332,          1.4
  178,   1068.6,   164,      88,           7.102,    399.2, 399.26666666666654,          0.7
  179,   1076.4,   151,      89,           7.214,    399.4, 399.30666666666656,          0.6
  180,   1084.5,   125,      89,           7.386,    399.4,  399.3466666666666,          0.7
  181,     1092,    61,      72,           7.544,    399.4,  399.3866666666666,            0
  182,   1099.3,   103,      94,           7.684,    399.4, 399.43999999999994,            0
  183,   1106.7,    80,      47,           7.628,    399.4, 399.47999999999996,            0
  184,   1113.8,    22,      16,            7.49,    399.4, 399.52000000000004,          0.7
  185,     1121,    44,      89,           7.312,    399.4,  399.5733333333334,          0.7
  186,   1128.5,   138,      94,           7.294,    399.6,  399.6133333333334,          0.7
  187,   1135.8,   223,      97,            7.29,    399.6, 399.66666666666674,          0.7
  188,   1142.8,   254,      99,           7.206,    399.6,  399.7200000000001,          0.7
  189,   1150.6,   235,     101,           7.354,    399.6, 399.78666666666675,          0.6
  190,   1158.8,   211,     103,           7.562,    399.8,  399.8533333333334,          0.6
  191,   1166.7,   203,      91,           7.632,    399.8, 399.93333333333345,          1.2
  192,   1175.4,   135,      85,           7.936,    399.8,  400.0266666666668,          0.6
  193,   1184.1,   120,      85,           8.266,      400,  400.1200000000001,          1.2
  194,   1192.6,   112,      77,           8.388,      400,  400.2133333333334,          1.2
  195,   1200.9,    83,      84,           8.408,    400.2, 400.32000000000005,          1.2
  196,     1209,    74,      84,           8.468,    400.2,             400.44,          1.2
  197,   1217.3,    67,      82,           8.382,    400.4, 400.56000000000006,          1.2
  198,   1225.7,    52,      72,           8.318,    400.4,  400.6933333333334,          1.8
  199,   1233.6,    47,      76,             8.2,    400.6, 400.84000000000003,          1.9
  200,   1241.6,    65,      78,           8.142,    400.8, 400.97333333333336,          1.9
  201,   1249.4,    67,      73,           8.076,      401,             401.12,            2
  202,   1256.8,    77,      78,            7.88,      401, 401.25333333333333,            2
  203,   1264.3,   109,      79,           7.718,    401.2,              401.4,            2
  204,   1271.8,   144,      79,           7.656,    401.4, 401.53333333333336,          2.7
  205,   1279.4,   180,      79,           7.554,    401.6, 401.68000000000006,          2.7
  206,   1286.9,   201,      79,           7.502,    401.8,  401.8133333333334,            2
  207,   1294.2,   179,      80,           7.498,      402,  401.9333333333334,            2
  208,   1301.6,   175,      82,           7.464,      402,  402.0533333333334,          1.3
  209,   1309.3,      ,      82,           7.494,    402.2,  402.1733333333334,          1.3
  210,   1317.4,      ,      82,           7.614,    402.2,  402.2800000000001,          1.3
  211,   1325.4,      ,      82,           7.694,    402.4,  402.3733333333335,          1.3
  212,   1333.1,      ,      82,           7.774,    402.4,  402.4666666666668,          1.3
  213,   1340.7,      ,      82,            7.83,    402.6,  402.5466666666668,          0.6
  214,   1348.5,      ,      82,           7.838,    402.6, 402.61333333333346,          1.3
  215,   1356.2,      ,      82,           7.762,    402.6,  402.6800000000001,          0.7
  216,   1363.5,      ,      82,           7.626,    402.8, 402.73333333333346,          0.7
  217,   1371.1,      ,      82,           7.588,    402.8,  402.7866666666668,          0.7
  218,   1378.9,      ,      82,            7.63,    402.8,  402.8266666666668,          0.7
  219,   1386.5,      ,      82,           7.604,    402.8, 402.86666666666684,          0.7
  220,   1394.2,      ,      82,           7.586,      403,  402.8933333333335,          0.7
  221,   1401.8,      ,      82,           7.658,      403, 402.93333333333345,          0.6
  222,   1409.5,      ,      82,           7.694,      403,  402.9733333333334,            0
  223,   1417.7,      ,      82,           7.758,      403, 403.00000000000006,            0
  224,   1425.8,      ,      82,           7.852,      403,  403.0266666666667,            0
  225,   1433.7,      ,      82,            7.91,      403, 403.05333333333334,            0
  226,   1441.8,      ,      82,           8.004,      403,             403.08,            0
  227,   1449.8,      ,      82,           8.058,      403,  403.1066666666666,          0.6
  228,   1457.7,      ,      82,           7.996,      403, 403.13333333333327,          0.6
  229,   1465.8,      ,      82,           8.008,    403.2,  403.1733333333333,          0.6
  230,   1474.1,      ,      82,           8.068,    403.2,  403.2133333333333,          0.6
  231,     1482,      ,      82,           8.044,    403.2, 403.26666666666665,            0
  232,     1490,      ,      82,            8.04,    403.2,             403.32,            0
  233,     1498,      ,      82,           8.074,    403.2, 403.37333333333333,          0.6
  234,   1505.7,      ,      82,            7.98,    403.2,  403.4266666666667,          0.6
  235,   1513.6,      ,      82,           7.916,    403.4,  403.4933333333334,          1.2
  236,   1522.1,      ,      82,           8.006,    403.4, 403.54666666666674,          1.2
  237,   1530.2,      ,      82,           8.028,    403.6,  403.6133333333334,          1.2
  238,   1538.1,      ,      82,            8.01,    403.6, 403.68000000000006,          1.2
  239,   1546.9,      ,      82,           8.234,    403.8,  403.7466666666667,          0.6
  240,   1555.8,      ,      82,           8.426,    403.8,  403.8133333333334,          0.6
  241,   1564.2,      ,      82,           8.432,    403.8,  403.8933333333334,          0.6
  242,   1572.8,      ,      82,           8.538,    403.8, 403.96000000000004,          0.6
  243,   1581.5,      ,      82,           8.684,      404,  404.0266666666667,          1.2
  244,   1589.7,      ,      82,           8.572,      404,             404.08,          1.3
  245,   1597.6,      ,      82,           8.368,    404.2, 404.14666666666665,          0.7
  246,   1604.7,      ,      82,           8.102,    404.2,              404.2,          0.7
  247,     1612,      ,      82,           7.824,    404.2, 404.26666666666665,          0.7
  248,     1620,      ,      82,           7.694,    404.2,  404.3333333333333,          0.7
  249,   1627.5,      ,      82,            7.56,    404.4,              404.4,          0.6
  250,   1635.3,      ,      82,           7.538,    404.4, 404.46666666666664,          0.7
  251,   1643.1,      ,      82,           7.668,    404.4, 404.53333333333336,          0.7
  252,   1650.4,      ,      82,           7.682,    404.4,  404.5866666666667,          0.7
  253,   1657.4,      ,      82,           7.498,    404.6, 404.65333333333336,          1.4
  254,   1664.8,      ,      82,           7.454,    404.6,             404.72,          1.4
  255,   1671.9,      ,      82,           7.326,    404.8,              404.8,          0.8
  256,   1678.1,     0,       0,           6.996,    404.8,  404.8666666666667,          1.6
  257,   1683.5,    37,      16,           6.634,    404.8, 404.93333333333334,          0.9
  258,   1689.2,   151,      61,           6.356,      405,  405.0133333333334,          0.8
  259,   1695.2,   287,      68,           6.084,      405,  405.0933333333334,          1.6
  260,   1701.8,   320,      73,            5.97,      405,  405.1600000000001,          0.8
  261,   1708.7,   333,      76,            6.13,    405.2, 405.22666666666674,          1.5
  262,   1715.6,   302,      78,           6.412,    405.2,  405.2800000000001,          1.4
  263,   1722.6,   280,      78,           6.674,    405.4,  405.3333333333334,          0.7
  264,   1729.9,   265,      56,           6.926,    405.4, 405.40000000000015,          1.5
  265,   1736.4,     0,       0,           6.916,    405.4,  405.4533333333335,          0.8
  266,   1741.9,     0,       0,            6.65,    405.6, 405.50666666666683,          0.9
  267,   1747.7,    14,      16,            6.42,    405.6,  405.5733333333335,          0.9
  268,     1753,    33,      51,           6.072,    405.6, 405.64000000000016,            0
  269,   1758.2,   218,      68,           5.674,    405.6,  405.7066666666668,            0
  270,   1764.7,   426,      73,           5.668,    405.6,  405.7733333333335,          0.8
  271,   1771.3,   483,      82,           5.874,    405.6, 405.84000000000015,          0.7
  272,   1778.9,   487,      85,           6.238,    405.8,  405.9200000000002,          0.6
  273,   1787.3,   493,      88,           6.866,    405.8, 405.98666666666685,          1.2
  274,   1795.8,   424,      90,           7.512,    405.8, 406.06666666666683,          1.1
  275,   1804.9,   403,      91,            8.05,      406,  406.1466666666668,          1.2
  276,   1813.8,   381,      92,           8.494,    406.2,  406.2400000000001,          1.7
  277,     1822,   233,      94,           8.618,    406.2, 406.34666666666675,          1.2
  278,   1830.4,   205,      94,           8.628,    406.4, 406.45333333333343,          1.1
  279,   1839.3,   181,      92,            8.71,    406.4, 406.56000000000006,          1.1
  280,   1849.1,   118,      65,            8.83,    406.6,  406.6666666666667,          1.1
  281,   1858.1,    31,      78,           8.852,    406.6,  406.7866666666667,          1.1
  282,   1866.8,    43,      84,           8.966,    406.8,  406.9066666666667,          1.1
  283,   1875.4,    86,      89,            8.99,    406.8,  407.0133333333334,          1.7
  284,   1884.2,   133,      89,            8.97,      407,  407.1333333333334,          1.2
  285,   1892.8,   182,      90,            8.75,    407.2,  407.2533333333334,          1.8
  286,   1901.3,   198,      90,           8.648,    407.2,  407.3733333333334,          1.2
  287,   1909.6,   153,      90,           8.562,    407.4,  407.4933333333334,          1.2
  288,   1917.8,   149,      90,           8.484,    407.4,  407.6266666666667,          1.8
  289,   1926.2,   185,      91,             8.4,    407.6, 407.76000000000005,          1.2
  290,   1935.2,   243,      92,           8.468,    407.8,  407.8933333333334,          1.7
  291,   1943.8,   286,      94,           8.494,    407.8,  408.0266666666667,          1.7
  292,   1952.7,   290,      96,            8.61,      408,             408.16,          1.1
  293,     1962,   264,      97,           8.834,    408.2, 408.29333333333335,          1.7
  294,   1971.2,   262,      96,           9.006,    408.2,  408.4266666666667,          1.6
  295,   1980.1,   291,      93,           8.978,    408.4, 408.56000000000006,          1.6
  296,   1989.4,   307,      95,           9.132,    408.6,  408.6933333333334,          1.6
  297,   1999.6,   254,      96,           9.386,    408.8,  408.8133333333334,          1.5
  298,   2009.5,   196,      96,             9.5,    408.8,  408.9466666666667,          1.5
  299,   2019.3,   172,      67,           9.626,      409,  409.0666666666667,          1.1
  300,   2028.6,   159,      29,           9.708,    409.2,  409.1733333333334,          1.6
  301,   2037.6,     0,       0,           9.632,    409.2,  409.2933333333334,          1.1
  302,   2046.4,     0,       0,           9.358,    409.4, 409.40000000000015,          1.2
  303,     2055,     0,       0,           9.098,    409.4, 409.49333333333345,          1.2
  304,   2063.3,     0,       0,           8.782,    409.6, 409.58666666666676,          1.2
  305,   2071.4,     0,       0,           8.562,    409.6,  409.6933333333334,          1.3
  306,     2079,     0,       0,           8.286,    409.8,  409.7866666666667,          0.7
  307,   2085.8,     0,       0,            7.89,    409.8, 409.88000000000005,          1.4
  308,   2092.7,    88,      78,            7.54,    409.8,  409.9733333333334,          0.7
  309,   2099.4,   193,      84,           7.234,      410,  410.0666666666668,          0.7
  310,   2106.4,   269,      86,            6.99,      410, 410.16000000000014,          1.4
  311,   2113.8,   278,      91,           6.962,      410, 410.25333333333344,          1.4
  312,   2121.2,   276,      92,            7.08,    410.2, 410.34666666666675,          1.3
  313,   2128.6,   207,      89,            7.19,    410.4,  410.4400000000001,            2
  314,   2136.2,   152,      92,           7.346,    410.4,  410.5333333333334,          1.4
  315,   2143.4,   146,      93,           7.404,    410.6,  410.6266666666667,          1.3
  316,   2150.8,   169,      94,             7.4,    410.6,             410.72,          1.3
  317,   2159.3,   144,      95,           7.604,    410.8, 410.81333333333333,          1.3
  318,   2167.3,   139,      96,           7.736,    410.8, 410.90666666666664,          1.3
  319,   2174.9,   134,      89,           7.748,      411,                411,          1.3
  320,   2182.8,    96,      72,            7.87,      411, 411.08000000000004,          1.3
  321,     2191,    81,      85,           8.034,    411.2,  411.1733333333334,          0.6
  322,   2198.6,   134,      85,           7.876,    411.2,  411.2533333333334,          1.2
  323,   2206.5,   108,      80,           7.838,    411.2, 411.33333333333337,          0.6
  324,   2214.9,   139,      87,            7.99,    411.4, 411.40000000000003,          0.6
  325,   2222.8,   180,      88,           8.018,    411.4,  411.4800000000001,          1.2
  326,   2230.7,   199,      88,           7.936,    411.4, 411.54666666666674,          0.6
  327,   2238.5,    89,      57,           7.976,    411.6,  411.6133333333334,          1.3
  328,   2246.4,    57,      70,           7.988,    411.6, 411.68000000000006,          1.3
  329,   2254.8,    92,      87,           7.986,    411.8,  411.7466666666667,          0.6
  330,   2262.5,    93,      81,           7.934,    411.8,  411.8266666666667,          0.6
  331,   2271.1,    67,      57,           8.086,    411.8,  411.8933333333334,          0.6
  332,   2279.6,    44,      75,           8.214,    411.8,  411.9733333333334,          0.6
  333,   2287.5,    29,      76,           8.216,      412, 412.05333333333346,          0.6
  334,   2295.4,    33,      73,           8.122,      412, 412.13333333333344,          1.3
  335,     2303,    67,      82,           8.092,      412,  412.2133333333334,          0.6
  336,     2311,   113,      82,           7.972,    412.2,  412.2800000000001,          1.3
  337,   2319.4,   137,      80,           7.964,    412.2, 412.36000000000007,          1.3
  338,   2327.1,   133,      80,           7.914,    412.4,  412.4400000000001,          1.3
  339,   2334.8,   114,      76,           7.888,    412.4,  412.5333333333334,          1.3
  340,   2342.2,    88,      74,           7.846,    412.6,  412.6266666666667,          1.3
  341,   2349.4,    49,      69,           7.696,    412.6,  412.7333333333334,          1.4
  342,   2356.9,   136,      88,           7.494,    412.8,  412.8400000000001,          0.7
  343,     2364,   212,      88,           7.378,    412.8,  412.9466666666668,          1.4
  344,   2371.1,   224,      89,            7.26,    412.8,  413.0666666666668,          0.7
  345,   2378.5,   142,      82,           7.258,      413, 413.17333333333346,          1.4
  346,   2385.9,     0,       0,           7.288,      413, 413.29333333333346,          2.1
  347,   2392.8,     0,       0,            7.18,    413.2, 413.41333333333347,          2.2
  348,   2399.4,     0,       0,            7.08,    413.4,  413.5466666666668,          2.3
  349,   2406.1,      ,       0,           7.004,    413.6,  413.6666666666668,          2.3
  350,   2412.5,      ,       0,            6.81,    413.6,  413.8000000000001,          2.3
  351,   2419.1,      ,       0,           6.644,    413.8,  413.9466666666668,          1.5
  352,     2426,      ,       0,           6.638,      414,  414.0800000000001,          2.2
  353,   2432.6,      ,       0,           6.654,      414, 414.22666666666674,          2.1
  354,     2440,      ,       0,           6.772,    414.2, 414.36000000000007,          2.1
  355,   2447.6,      ,       0,           7.022,    414.4, 414.49333333333345,            2
  356,   2455.1,      ,       0,           7.202,    414.6,  414.6133333333334,            2
  357,   2462.7,      ,       0,            7.34,    414.6,  414.7466666666667,            2
  358,   2470.4,      ,       0,           7.554,    414.8, 414.86666666666673,          1.3
  359,     2478,      ,       0,           7.602,      415, 414.98666666666674,          1.9
  360,   2485.6,      ,       0,           7.596,      415, 415.12000000000006,          1.3
  361,   2493.5,      ,       0,           7.672,    415.2, 415.24000000000007,          1.2
  362,   2501.9,      ,       0,           7.854,    415.2, 415.36000000000007,          1.2
  363,   2510.7,      ,       0,           8.068,    415.4,  415.4800000000001,          1.1
  364,   2519.8,      ,       0,           8.356,    415.4,  415.6133333333334,          1.1
  365,   2529.6,      ,       0,            8.79,    415.6,  415.7333333333334,            1
  366,   2539.7,      ,       0,           9.252,    415.6,  415.8533333333334,          1.5
  367,   2550.2,      ,       0,           9.648,    415.8, 415.98666666666674,            1
  368,   2560.2,      ,       0,           9.888,      416, 416.10666666666674,          1.6
  369,   2569.2,      ,       0,           9.882,      416, 416.24000000000007,          1.7
  370,   2577.4,      ,       0,           9.556,    416.2,  416.3733333333334,          1.9
  371,   2585.1,      ,       0,           9.072,    416.4,  416.5066666666668,          1.9
  372,   2592.5,      ,       0,           8.468,    416.6,  416.6400000000001,          1.9
