 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   56,    344.1,       0,           6.468,     61.6,  61.55555555555556,            0
   57,    348.9,       0,            5.88,     61.6,              61.54,            0
   58,    352.8,       0,           5.196,     61.6, 61.527272727272724,            0
   59,    356.4,       0,           4.576,     61.6,  61.51666666666666,            0
   60,      360,       0,           4.186,     61.6,   61.5076923076923,            0
   61,    363.9,       0,           3.968,     61.6,  61.49999999999999,         -1.3
   62,    367.8,       0,           3.786,     61.6, 61.493333333333325,         -1.3
   63,    371.3,       4,           3.694,     61.4,  61.47999999999999,         -1.3
   64,    375.3,       4,           3.772,     61.4, 61.453333333333326,         -1.3
   65,    378.9,      25,           3.774,     61.4, 61.426666666666655,            0
   66,    382.7,      25,            3.76,     61.4,  61.39999999999999,            0
   67,    387.1,      25,            3.86,     61.4,  61.35999999999999,            0
   68,    391.8,      33,           4.108,     61.4, 61.319999999999986,            0
   69,    396.8,      33,           4.316,     61.4,  61.27999999999999,            0
   70,    402.3,      24,           4.688,     61.4,  61.26666666666666,         -0.8
   71,    408.9,      49,            5.24,     61.4,  61.25333333333333,         -0.8
   72,    415.5,      53,           5.676,     61.2,  61.25333333333333,         -0.8
   73,    422.1,      56,           6.062,     61.2,  61.25333333333333,         -1.5
   74,    428.7,      56,           6.376,     61.2,  61.25333333333333,         -0.7
   75,      435,      53,           6.548,       61,  61.25333333333333,         -0.7
   76,    442.3,      36,           6.668,       61,  61.25333333333333,            0
   77,    449.2,      60,            6.74,       61,  61.25333333333333,          0.7
   78,    456.2,      69,           6.812,     61.2,  61.25333333333333,          1.4
   79,    463.2,      73,           6.898,     61.2,  61.26666666666666,          1.4
   80,    470.4,      73,           7.076,     61.4,  61.27999999999999,          0.7
   81,    477.4,      73,           7.024,     61.4, 61.293333333333315,          0.7
   82,    484.4,      75,           7.034,     61.4,  61.31999999999998,            0
   83,    491.9,      76,           7.132,     61.4,  61.34666666666665,            0
   84,    499.5,      76,           7.252,     61.4,  61.38666666666665,            0
   85,    507.6,      78,           7.426,     61.4,  61.41333333333331,            0
   86,    515.6,      79,            7.64,     61.4, 61.439999999999976,            0
   87,    523.7,      80,           7.856,     61.4,  61.45333333333331,            0
   88,    531.4,      81,           7.902,     61.4, 61.466666666666654,            0
   89,    539.3,      82,           7.978,     61.4,  61.47999999999999,            0
   90,      547,      81,           7.894,     61.4, 61.493333333333325,          0.6
   91,    554.9,      76,           7.862,     61.4,  61.50666666666666,          0.6
   92,    563.3,      74,           7.934,     61.6, 61.519999999999996,          0.6
   93,    571.7,      75,           8.066,     61.6,  61.53333333333333,          0.6
   94,      580,      75,           8.132,     61.6,  61.54666666666667,            0
   95,    588.6,      75,           8.312,     61.6,  61.56000000000001,            0
   96,    597.1,      75,            8.43,     61.6, 61.573333333333345,            0
   97,    605.6,      75,           8.446,     61.6,  61.60000000000001,            0
   98,    613.8,      75,           8.422,     61.6,  61.62666666666667,            0
   99,    622.6,      75,           8.518,     61.6,              61.64,            0
  100,    631.3,      74,           8.546,     61.6,  61.65333333333333,            0
  101,    639.7,      75,           8.522,     61.6,  61.66666666666666,            0
  102,    647.8,      74,           8.438,     61.6, 61.679999999999986,            0
  103,    656.3,      74,           8.506,     61.6, 61.679999999999986,          0.6
  104,      665,      74,            8.47,     61.6, 61.679999999999986,          0.6
  105,    673.3,      72,           8.402,     61.8, 61.679999999999986,          0.6
  106,    681.4,      72,            8.34,     61.8, 61.679999999999986,          0.6
  107,    689.8,      72,           8.404,     61.8, 61.679999999999986,            0
  108,    697.9,       0,           8.316,     61.8, 61.679999999999986,            0
  109,    706.2,       0,           8.246,     61.8, 61.679999999999986,         -0.6
  110,    714.4,       0,           8.208,     61.8, 61.679999999999986,         -0.6
  111,    721.9,       0,           8.108,     61.6, 61.679999999999986,         -0.7
  112,    729.3,       0,           7.898,     61.6,  61.66666666666666,         -0.7
  113,    736.4,       0,           7.694,     61.6,  61.63999999999999,            0
  114,    743.6,       0,           7.484,     61.6, 61.626666666666665,            0
  115,    750.5,       0,           7.222,     61.6,  61.61333333333334,            0
  116,    757.5,       0,           7.126,     61.6,  61.58666666666667,            0
  117,    764.7,       5,           7.088,     61.6,  61.56000000000001,            0
  118,    771.7,       5,           7.062,     61.6,  61.54666666666667,            0
  119,    778.1,      49,             6.9,     61.6,  61.53333333333333,         -0.8
  120,    784.6,      75,           6.826,     61.6,  61.53333333333333,            0
  121,    791.2,      76,           6.738,     61.4,  61.53333333333333,            0
  122,    798.2,      77,           6.698,     61.6, 61.519999999999996,         -0.7
  123,      804,      73,            6.45,     61.6, 61.519999999999996,            0
  124,    811.6,      73,           6.702,     61.4,  61.50666666666666,         -0.7
  125,    818.9,      73,           6.852,     61.4,  61.50666666666666,         -0.7
  126,    825.9,       0,           6.938,     61.4,  61.50666666666666,          0.7
  127,    833.4,       0,           7.046,     61.4,  61.50666666666666,          0.7
  128,    840.8,       0,            7.37,     61.6, 61.519999999999996,            0
  129,      849,       0,           7.472,     61.6, 61.519999999999996,          0.6
  130,      858,       0,           7.824,     61.4, 61.519999999999996,         -0.6
  131,    865.6,       0,           7.942,     61.6,  61.54666666666666,            0
  132,    872.8,       0,           7.868,     61.4,  61.57333333333333,          0.7
  133,    879.4,       0,           7.728,     61.6, 61.599999999999994,            0
  134,    885.2,       0,           7.246,     61.6,  61.62666666666666,          0.8
  135,    892.4,       5,            6.88,     61.6,  61.65333333333332,            0
  136,    898.7,      37,           6.616,     61.6, 61.679999999999986,            0
  137,    905.1,      37,           6.462,     61.6,  61.71999999999999,          0.8
  138,    911.2,      53,           6.358,     61.6, 61.746666666666655,          0.9
  139,    916.3,      41,           6.216,     61.8,  61.79999999999999,            1
  140,    920.8,      51,           5.692,     61.8,  61.82666666666666,          1.1
  141,    924.9,      51,           5.244,     61.8,  61.86666666666666,          1.1
  142,      929,      51,           4.786,     61.8,  61.90666666666666,          1.1
  143,    933.8,       0,           4.512,       62, 61.946666666666665,            1
  144,    938.8,      22,           4.496,       62, 61.986666666666665,            1
  145,    944.1,      40,           4.652,       62, 62.026666666666664,            1
  146,    949.2,      59,           4.862,       62, 62.053333333333335,            0
  147,      954,      58,               5,     62.2,  62.08000000000001,            1
  148,    958.3,      57,           4.898,       62,  62.10666666666668,          1.1
  149,    963.3,      59,             4.9,     62.2, 62.133333333333354,            0
  150,    968.1,      59,           4.806,     62.2,  62.14666666666669,            1
  151,    973.1,      63,           4.768,     62.2,  62.16000000000003,            0
  152,    978.3,      63,           4.848,     62.2,  62.16000000000003,            0
  153,    983.1,      63,           4.956,     62.2,  62.16000000000003,            0
  154,    987.7,      19,            4.89,     62.2, 62.133333333333354,            0
  155,    992.3,      37,           4.828,     62.2,  62.12000000000002,            0
  156,    996.9,      37,           4.768,     62.2,  62.09333333333335,            0
  157,   1000.7,      37,           4.498,     62.2,  62.06666666666668,            0
  158,   1003.8,       0,           4.138,     62.2, 62.053333333333335,         -1.5
  159,   1006.9,       0,            3.83,     62.2, 62.026666666666664,         -1.4
  160,   1010.5,      15,           3.634,       62,  61.99999999999999,         -2.6
  161,   1014.8,      37,           3.566,       62,  61.97333333333332,         -2.4
  162,   1019.1,      51,            3.68,     61.8, 61.946666666666644,         -1.2
  163,   1023.3,      54,            3.91,     61.8,  61.93333333333331,         -1.2
  164,   1027.4,      54,           4.108,     61.8,  61.91999999999997,          1.2
  165,   1031.4,      54,           4.196,     61.8,   61.8933333333333,            0
  166,   1035.2,      54,           4.086,       62,  61.86666666666663,            0
  167,     1039,       0,           3.976,     61.8,  61.85333333333329,            0
  168,     1043,      19,           3.948,     61.8,  61.85333333333329,         -1.3
  169,   1046.9,      35,           3.906,     61.8,  61.86666666666663,          1.3
  170,   1050.3,      35,           3.768,     61.8,  61.87999999999997,          1.4
  171,   1053.9,      46,           3.752,       62,   61.8933333333333,            0
  172,   1057.5,      46,           3.688,       62,  61.90666666666664,            0
  173,   1061.1,      48,           3.604,     61.8,  61.90666666666664,         -1.3
  174,   1064.2,      57,           3.446,     61.8,  61.91999999999997,            0
  175,   1068.8,      60,           3.698,     61.8,  61.93333333333331,          1.2
  176,   1072.8,      63,           3.774,       62,  61.95999999999999,          1.1
  177,   1077.4,      64,           3.988,       62, 61.999999999999986,          1.1
  178,   1082.3,      65,           4.238,       62,  62.02666666666665,            0
  179,   1087.6,      65,           4.682,       62,  62.05333333333331,            0
  180,   1092.7,      66,           4.786,       62,  62.09333333333332,            0
  181,   1097.9,      67,           5.016,       62,  62.11999999999999,            0
  182,   1103.2,      67,           5.168,       62,  62.15999999999999,            1
  183,   1108.3,      65,           5.202,       62, 62.173333333333325,          1.9
  184,   1113.1,      60,            5.11,     62.2,  62.18666666666666,          1.9
  185,   1118.5,      59,            5.16,     62.4,               62.2,          1.9
  186,   1124.1,      59,           5.248,     62.4,  62.21333333333334,          0.9
  187,   1129.7,      30,           5.298,     62.4, 62.226666666666674,         -0.9
  188,   1135.4,      30,           5.424,     62.4,  62.24000000000001,            0
  189,   1141.2,      41,            5.62,     62.2,  62.26666666666667,         -0.9
  190,   1146.4,      62,           5.584,     62.4,  62.28000000000001,         -0.9
  191,   1151.6,      62,           5.496,     62.2,  62.29333333333334,            0
  192,   1157.7,      63,           5.592,     62.2,  62.29333333333334,         -0.8
  193,   1163.9,      64,           5.702,     62.2,  62.30666666666668,            0
  194,   1170.1,      64,           5.768,     62.2, 62.320000000000014,            0
  195,   1176.2,      65,            5.96,     62.2,  62.34666666666668,          0.8
  196,   1181.9,      66,           6.058,     62.2,  62.38666666666667,            0
  197,   1187.5,      66,           5.962,     62.4, 62.413333333333334,          0.9
  198,   1193.3,      65,            5.89,     62.2,  62.45333333333333,          0.9
  199,   1198.9,      65,           5.766,     62.4,  62.50666666666666,          0.8
  200,   1204.8,      65,           5.708,     62.4,  62.54666666666665,          1.7
  201,   1211.1,      65,           5.846,     62.6,  62.58666666666665,          1.7
  202,   1216.5,      65,           5.796,     62.6,  62.63999999999998,          1.7
  203,     1222,      66,           5.734,     62.8,  62.70666666666664,          0.9
  204,   1227.7,      66,           5.766,     62.8, 62.759999999999984,          0.8
  205,   1234.4,      66,           5.938,     62.8,  62.82666666666665,          0.8
  206,   1240.9,      65,           5.948,     62.8,  62.87999999999999,            0
  207,   1247.7,      64,           6.236,       63,  62.93333333333332,            0
  208,   1253.9,      63,           6.378,     62.8,  62.97333333333333,          0.8
  209,   1259.8,      63,            6.42,     62.8,  63.01333333333333,          0.9
  210,   1265.3,      63,           6.172,       63,  63.05333333333333,          1.9
  211,   1270.4,       0,           5.908,     63.2, 63.093333333333334,          1.9
  212,   1275.4,       0,           5.554,     63.2,  63.13333333333333,            1
  213,   1280.4,       0,             5.3,     63.2,  63.17333333333333,            0
  214,   1285.4,       0,           5.114,     63.2,  63.21333333333334,            0
  215,   1290.2,       0,           4.988,     63.2,  63.25333333333334,            0
  216,   1295.3,       9,            4.97,     63.2,  63.29333333333334,          1.1
  217,   1299.4,       9,             4.8,     63.2,  63.32000000000001,          1.1
  218,   1303.4,       9,             4.6,     63.4, 63.333333333333336,          1.2
  219,   1307.7,       0,           4.464,     63.4, 63.333333333333336,          1.2
  220,   1311.5,       0,           4.258,     63.4, 63.333333333333336,          1.1
  221,   1315.8,       0,           4.114,     63.4, 63.333333333333336,            0
  222,   1320.8,      19,           4.274,     63.6, 63.333333333333336,            0
  223,   1325.1,      67,            4.34,     63.4, 63.333333333333336,            0
  224,   1330.6,      72,           4.568,     63.4, 63.346666666666664,         -0.9
  225,   1336.5,      72,           4.988,     63.4, 63.346666666666664,         -0.8
  226,   1342.4,      70,           5.312,     63.4,              63.36,         -0.8
  227,   1348.8,      68,           5.604,     63.2,  63.38666666666666,         -0.8
  228,   1354.9,      69,           5.956,     63.2,  63.42666666666666,         -0.9
  229,   1360.1,      69,           5.918,     63.2,  63.45333333333333,            0
  230,   1365.5,      69,            5.81,     63.2,  63.49333333333333,          0.9
  231,   1371.1,      68,           5.746,     63.2,  63.54666666666667,          0.9
  232,     1377,      69,           5.636,     63.4,  63.58666666666667,          1.7
  233,   1382.8,      69,            5.59,     63.4,  63.64000000000001,          2.4
  234,   1389.2,      70,           5.806,     63.6,  63.66666666666667,          2.3
  235,   1396.3,      70,            6.16,     63.8,  63.66666666666667,          2.2
  236,     1403,      71,           6.382,       64,  63.66666666666667,          1.4
  237,   1410.3,      72,           6.662,       64, 63.653333333333336,          1.4
  238,   1417.8,      72,           6.996,       64,              63.64,            0
  239,   1425.5,      72,           7.262,     64.2,  63.61333333333334,          0.7
  240,     1433,       0,           7.332,       64,  63.57333333333334,         -1.4
  241,   1439.8,       0,           7.352,     64.2, 63.519999999999996,         -3.7
  242,   1446.4,       0,            7.21,     63.6, 63.440000000000005,         -2.9
  243,   1452.7,       0,            6.97,     63.2,  63.34666666666667,         -4.4
  244,   1460.1,       0,           6.928,     63.2,  63.25333333333334,         -2.2
  245,   1467.2,       0,            6.85,       63, 63.160000000000004,         -0.8
  246,   1473.5,       0,           6.736,       63, 63.053333333333335,         -1.7
  247,   1478.8,       0,            6.49,       63,  62.96000000000001,         -0.9
  248,     1484,       0,            6.27,     62.8,  62.85333333333334,           -2
  249,   1488.6,       0,           5.688,     62.8,  62.78666666666667,         -2.1
  250,   1493.1,       5,            5.17,     62.6,              62.76,         -1.1
  251,   1497.6,       5,           4.816,     62.6,  62.73333333333333,         -1.1
  252,   1502.4,      49,           4.714,     62.6,  62.71999999999999,            0
  253,   1507.4,      70,           4.688,     62.6,  62.71999999999999,            0
  254,   1513.4,      74,           4.972,     62.6,  62.71999999999999,            0
  255,   1520.1,      75,           5.402,     62.6,  62.73333333333333,            0
  256,   1526.3,      75,           5.746,     62.6,  62.74666666666666,          0.8
  257,   1532.1,      70,           5.936,     62.6, 62.773333333333326,          0.8
  258,   1537.9,      67,           6.098,     62.8, 62.813333333333325,          0.9
  259,   1543.8,      67,           6.068,     62.8,  62.85333333333333,          1.7
  260,   1549.5,      67,           5.886,     62.8,  62.89333333333333,          0.9
  261,   1555.6,       0,           5.862,       63, 62.919999999999995,          0.9
  262,     1561,      18,           5.788,       63, 62.946666666666665,          0.9
  263,   1566.5,      18,           5.706,       63,  62.97333333333333,            0
  264,   1571.9,      38,            5.63,       63,  63.01333333333333,          0.9
  265,   1576.9,      38,           5.484,       63,              63.04,          0.9
  266,   1582.3,      28,           5.346,     63.2,  63.06666666666668,            1
  267,   1587.6,      36,           5.328,     63.2,  63.09333333333335,            0
  268,   1592.9,      36,            5.29,     63.2,  63.10666666666668,           -1
  269,   1597.8,      36,            5.18,       63,  63.10666666666668,           -1
  270,   1602.9,      24,           5.186,       63,  63.10666666666668,            0
  271,   1608.2,      24,           5.184,       63,  63.10666666666668,          0.9
  272,   1613.5,      24,           5.166,     63.2,  63.10666666666668,          0.9
  273,   1619.2,       0,           5.246,     63.2, 63.066666666666684,          0.8
  274,   1625.5,       0,           5.534,     63.2,  63.02666666666668,            0
  275,   1631.9,       0,             5.8,     63.2,  62.98666666666668,         -0.8
  276,   1637.8,       0,           5.918,     63.2, 62.960000000000015,         -0.8
  277,   1643.7,       0,            6.05,       63,  62.94666666666668,         -0.8
  278,   1650.4,       7,           6.246,       63, 62.933333333333344,         -0.8
  279,   1656.2,      41,           6.136,       63, 62.906666666666666,         -1.6
  280,   1662.2,      71,           6.058,       63,  62.89333333333333,         -1.6
  281,   1668.4,      71,            6.11,     62.6, 62.879999999999995,         -1.6
  282,   1675.1,      71,            6.27,     62.6, 62.879999999999995,         -1.6
  283,   1681.1,      71,           6.136,     62.6, 62.879999999999995,          0.8
  284,   1686.7,      26,           6.098,     62.6,  62.89333333333333,          0.8
  285,   1692.9,      38,           6.148,     62.8, 62.906666666666666,          0.8
  286,   1699.1,      66,            6.14,     62.8,              62.92,          1.6
  287,   1704.9,      65,           5.962,     62.8,  62.94666666666667,          0.8
  288,   1710.9,      64,            5.97,       63,                 63,          1.7
  289,   1716.4,      63,           5.958,       63,  63.05333333333333,          1.8
  290,   1722.1,      63,           5.834,     63.2,  63.10666666666666,          0.9
  291,   1727.6,      63,           5.712,     63.2,  63.15999999999999,          0.9
  292,   1733.1,      63,           5.648,     63.2, 63.199999999999996,            0
  293,   1738.5,      63,           5.522,     63.2,  63.22666666666667,          0.9
  294,   1744.5,      63,           5.618,     63.2,  63.25333333333334,          0.9
  295,   1750.3,      40,           5.644,     63.4,  63.26666666666667,          0.9
  296,   1755.9,      63,           5.652,     63.4,  63.28000000000001,          0.9
  297,   1761.9,      63,           5.764,     63.4,  63.28000000000001,            0
  298,   1767.3,      63,           5.764,     63.4,  63.26666666666667,            0
  299,   1773.4,      63,           5.776,     63.4,  63.25333333333334,         -0.8
  300,   1779.5,       0,           5.848,     63.4,              63.24,         -0.8
  301,   1785.6,       0,           5.946,     63.2,  63.21333333333333,         -0.9
  302,   1791.1,       0,            5.84,     63.2,              63.16,         -0.9
  303,   1796.9,      12,           5.916,     63.2, 63.080000000000005,            0
  304,   1802.8,      12,            5.87,     63.2,  63.00000000000001,         -0.9
  305,   1808.3,      12,            5.75,     63.2,  62.90666666666667,         -0.8
  306,     1814,       0,           5.678,       63,  62.81333333333335,         -0.8
  307,   1820.6,      14,           5.898,       63,  62.72000000000001,         -1.5
  308,   1827.5,      42,           6.114,       63,  62.65333333333334,         -1.5
  309,   1834.1,      42,           6.268,     62.8,  62.58666666666668,           -3
  310,   1840.9,      42,           6.528,     62.6,  62.53333333333334,           -3
  311,   1847.7,      21,           6.726,     62.2, 62.480000000000004,           -3
  312,   1854.2,      39,           6.706,     62.2,  62.42666666666666,         -2.3
  313,   1860.8,      66,            6.66,       62,  62.38666666666666,         -0.8
  314,   1867.1,      68,           6.594,       62,              62.36,            0
  315,   1873.4,      67,            6.49,       62, 62.333333333333336,          0.8
  316,   1879.7,      70,           6.408,     62.2, 62.333333333333336,          1.6
  317,   1886.1,      73,           6.384,     62.2, 62.346666666666664,          1.6
  318,   1892.2,      73,           6.276,     62.4, 62.386666666666656,          0.8
  319,   1898.3,      73,           6.254,     62.4,  62.43999999999998,          0.8
  320,   1904.7,      73,            6.26,     62.4,  62.49333333333332,          0.8
  321,   1910.8,      73,           6.212,     62.4, 62.546666666666646,          0.8
  322,   1916.9,       0,           6.168,     62.6,  62.59999999999998,          1.6
  323,   1923.4,       0,            6.25,     62.6,  62.59999999999998,          1.6
  324,   1929.4,       0,           6.204,     62.8,  62.59999999999998,          0.8
  325,   1936.3,      11,            6.33,     62.8,  62.58666666666665,          1.5
  326,   1943.6,      11,           6.566,     62.8, 62.573333333333316,            0
  327,   1950.5,      47,            6.72,       63,  62.55999999999999,            0
  328,   1956.8,      74,           6.668,     62.8,  62.55999999999999,            0
  329,     1963,      70,           6.722,     62.8,  62.54666666666665,           -3
  330,   1970.1,      70,            6.76,     62.8,  62.53333333333332,         -2.3
  331,   1976.8,      70,           6.652,     62.2,  62.50666666666665,         -2.3
  332,   1983.1,      29,           6.522,     62.2,  62.47999999999999,         -2.5
  333,   1988.7,      41,           6.384,     62.2, 62.453333333333326,            0
  334,   1994.1,      67,           6.222,     62.2, 62.426666666666655,          0.9
  335,   1999.6,      66,           5.894,     62.2,  62.41333333333333,          0.9
  336,   2005.2,      64,           5.678,     62.4,               62.4,          0.8
  337,   2011.1,      63,             5.6,     62.4,               62.4,          0.8
  338,   2017.6,      63,           5.788,     62.4,  62.43999999999999,            0
  339,   2025.7,      63,            6.32,     62.4,  62.46666666666666,            0
  340,   2032.4,      62,            6.56,     62.4, 62.493333333333325,          0.7
  341,   2038.9,      62,           6.738,     62.4,  62.51999999999999,          0.8
  342,   2044.9,      62,           6.756,     62.6,  62.54666666666665,          0.8
  343,   2051.2,      63,           6.712,     62.6,  62.54666666666665,          1.5
  344,   2057.1,      64,           6.288,     62.6,  62.54666666666665,          0.7
  345,     2065,      66,           6.526,     62.8, 62.533333333333324,            0
  346,   2071.9,      67,           6.602,     62.8,  62.50666666666666,            0
  347,   2078.3,      67,            6.67,     62.6,              62.48,         -0.7
  348,   2085.5,      68,           6.866,     62.6,  62.43999999999999,         -0.7
  349,   2092.6,      64,           7.092,     62.6, 62.386666666666656,         -0.7
  350,   2099.8,      64,           6.954,     62.6,  62.33333333333332,         -0.7
  351,   2107.9,      64,           7.198,     62.4, 62.253333333333316,         -1.3
  352,   2115.9,       0,           7.518,     62.4,  62.15999999999998,         -1.9
  353,   2123.7,       0,           7.636,     62.2,  62.06666666666665,         -1.3
  354,     2132,       0,            7.88,       62,  61.98666666666665,         -1.9
  355,   2139.9,       0,           8.022,       62,  61.93333333333331,         -1.3
  356,   2147.1,       0,           7.836,     61.8,  61.85333333333331,         -0.7
  357,   2153.8,       0,            7.58,     61.8, 61.813333333333304,         -2.1
  358,   2160.9,       0,           7.448,     61.8,  61.78666666666664,         -1.4
  359,   2168.1,       0,            7.22,     61.4,  61.75999999999998,         -1.4
  360,   2175.1,       0,           7.046,     61.4,  61.74666666666664,         -1.5
  361,   2181.9,       0,           6.966,     61.4,  61.74666666666664,          1.5
  362,   2188.3,       0,             6.9,     61.4,  61.74666666666664,            0
  363,     2194,       4,            6.61,     61.8,  61.77333333333331,          2.4
  364,   2200.2,      37,           6.432,     61.4,  61.78666666666665,          2.5
  365,   2206.5,      37,           6.266,       62,  61.82666666666665,          0.8
  366,   2212.3,      37,           6.066,       62,  61.89333333333332,          2.5
  367,   2218.4,      59,           6.032,       62, 61.933333333333316,            0
  368,   2224.4,      64,           6.094,       62,  61.97333333333332,            0
  369,   2231.2,      67,           6.192,       62, 62.039999999999985,          0.8
  370,   2238.1,      67,           6.336,       62, 62.066666666666656,            0
  371,   2244.5,      67,           6.452,     62.2, 62.133333333333326,          1.5
  372,   2251.1,      65,           6.548,       62,  62.14666666666666,          1.5
  373,   2258.1,      65,           6.722,     62.4,              62.16,         -0.7
  374,     2265,      65,           6.764,     62.4,  62.17333333333333,            0
  375,   2271.7,       0,           6.712,       62,  62.17333333333333,            0
  376,   2278.4,       0,           6.774,       62,  62.17333333333333,         -0.8
  377,   2284.3,       0,           6.628,     62.4,              62.16,          1.6
  378,   2290.3,       0,           6.448,     62.2, 62.133333333333326,          0.9
  379,     2296,       0,           6.188,     62.4,  62.11999999999999,         -0.9
  380,   2301.8,       8,           6.012,     62.2,  62.07999999999999,            0
  381,   2306.1,      40,           5.544,     62.2, 62.039999999999985,         -1.6
  382,   2312.8,      61,           5.706,     62.2,  62.02666666666665,         -0.8
  383,   2320.5,      67,           6.034,       62, 61.999999999999986,         -1.3
  384,   2327.9,      67,           6.396,       62,  61.94666666666665,         -1.3
  385,   2336.4,      67,           6.928,     61.8,  61.89333333333332,         -0.6
  386,   2343.8,      44,           7.532,     61.8,  61.82666666666665,         -0.6
  387,   2351.5,      44,           7.736,     61.8,  61.77333333333331,            0
  388,   2360.1,      74,           7.918,     61.8,  61.71999999999998,            0
  389,   2368.6,      77,            8.14,     61.8, 61.666666666666636,         -0.5
  390,   2378.4,      79,           8.394,     61.8,  61.62666666666664,         -0.5
  391,   2387.9,      81,           8.826,     61.6,   61.5733333333333,         -1.1
  392,   2396.7,      83,           9.048,     61.6,  61.54666666666664,         -1.1
  393,   2405.9,      82,           9.164,     61.4, 61.506666666666646,         -0.5
  394,   2414.9,      76,           9.248,     61.4, 61.466666666666654,         -0.5
  395,   2424.9,      76,             9.3,     61.4,  61.43999999999998,            0
  396,   2435.1,      77,           9.446,     61.4,  61.39999999999999,            0
  397,   2445.3,      78,           9.718,     61.4,              61.36,         -0.5
  398,   2454.9,      78,            9.81,     61.4, 61.333333333333336,            0
  399,   2464.3,      79,           9.892,     61.2, 61.306666666666665,         -0.5
  400,   2473.9,      78,            9.81,     61.4,              61.28,         -0.5
  401,   2484.2,      79,           9.816,     61.2,  61.25333333333334,          0.5
  402,   2494.8,      79,            9.89,     61.2, 61.226666666666674,         -0.5
  403,   2505.1,      80,           10.03,     61.4,  61.20000000000001,            0
  404,   2515.7,      80,          10.266,     61.2,  61.17333333333334,            0
  405,   2526.1,      81,          10.442,     61.2,  61.13333333333334,         -0.5
  406,   2536.6,      80,          10.478,     61.2,  61.10666666666667,         -0.5
  407,   2547.1,      82,          10.464,     61.2,  61.06666666666667,         -0.5
  408,   2557.6,      81,          10.502,       61, 61.026666666666664,         -0.5
  409,   2567.9,      78,          10.452,       61, 60.986666666666665,         -0.5
  410,   2577.9,      77,           10.36,       61, 60.919999999999995,            0
  411,   2588.1,      77,          10.296,       61,  60.85333333333333,         -0.5
  412,   2598.5,      78,           10.28,       61, 60.773333333333326,         -0.5
  413,   2609.2,      78,           10.32,     60.8, 60.679999999999986,         -0.5
  414,   2621.1,      79,          10.634,     60.8,  60.58666666666665,         -0.9
  415,   2631.9,      79,          10.802,     60.8, 60.506666666666646,         -0.4
  416,   2642.9,      80,          10.958,     60.6,  60.41333333333331,         -0.9
  417,   2653.7,      80,          11.046,     60.6,  60.31999999999998,         -1.4
  418,   2664.3,      80,          11.014,     60.4,  60.21333333333332,         -1.4
  419,   2675.1,      80,          10.802,     60.2,  60.10666666666665,         -1.9
  420,   2686.1,      67,           10.83,       60, 60.013333333333314,         -1.4
  421,   2696.7,      58,          10.762,     59.8,  59.91999999999998,         -0.9
  422,   2706.9,      75,          10.628,     59.8,  59.81333333333332,           -1
  423,   2717.3,      75,          10.616,     59.8,  59.71999999999999,         -0.5
  424,   2727.6,      75,          10.504,     59.6,  59.62666666666666,           -1
  425,   2738.1,      24,          10.392,     59.6,  59.54666666666666,           -1
  426,   2748.1,      54,          10.278,     59.4,              59.48,         -0.5
  427,   2758.2,      54,          10.266,     59.4,  59.42666666666666,         -0.5
  428,   2768.3,      54,           10.19,     59.4, 59.373333333333335,         -0.5
  429,   2778.5,       0,          10.174,     59.4,  59.32000000000001,         -0.5
  430,   2788.7,       0,          10.124,     59.2,  59.26666666666667,         -0.5
  431,   2798.5,       0,          10.092,     59.2, 59.226666666666674,         -0.5
  432,   2808.1,       0,           9.988,     59.2, 59.186666666666675,            0
  433,   2817.2,       0,           9.788,     59.2,  59.14666666666667,            0
  434,   2826.6,       0,           9.618,     59.2,  59.10666666666667,         -0.6
  435,   2835.3,       0,           9.322,     59.2,  59.06666666666667,         -0.6
  436,   2843.8,       0,           9.044,       59, 59.026666666666664,         -0.6
  437,   2851.9,       0,            8.75,       59,  58.99999999999999,         -0.6
  438,   2859.8,       0,           8.508,       59,  58.97333333333332,            0
  439,   2867.2,       0,           8.124,       59, 58.946666666666644,         -0.6
  440,     2875,       5,           7.936,       59,  58.91999999999997,         -0.7
  441,   2882.7,      40,           7.792,     58.8, 58.879999999999974,         -0.7
  442,   2890.5,      40,           7.726,     58.8,  58.83999999999997,         -0.6
  443,   2897.8,      40,           7.612,     58.8, 58.813333333333304,            0
  444,   2906.2,      23,             7.8,     58.8,  58.78666666666664,            0
  445,   2913.9,      40,           7.788,     58.8,  58.74666666666664,            0
  446,   2921.7,      67,           7.798,     58.8, 58.706666666666635,            0
  447,   2929.4,      74,           7.768,     58.8,  58.65333333333331,         -0.6
  448,     2937,      81,           7.834,     58.8, 58.613333333333316,         -0.6
  449,   2944.9,      81,           7.746,     58.6, 58.573333333333316,         -0.6
  450,   2953.4,      76,           7.898,     58.6,  58.51999999999999,         -0.6
  451,   2962.1,      76,           8.086,     58.6,  58.46666666666666,         -0.6
  452,   2971.3,      78,           8.396,     58.6,  58.41333333333333,         -0.6
  453,   2980.5,      79,           8.708,     58.4,              58.36,         -1.1
  454,   2989.8,      81,           8.962,     58.4,  58.29333333333333,         -1.1
  455,   2998.7,      82,           9.064,     58.2,  58.22666666666667,         -0.5
  456,     3008,      82,           9.168,     58.2, 58.173333333333325,         -1.1
  457,   3017.1,      84,           9.148,     58.2,  58.10666666666666,         -0.5
